"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-17966Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Matematicko-fyzikální fakulta","dvoudimenzionální elektronová spektroskopie;polarizace;struktura;",2,"Dvoudimenzionální elektronová spektroskopie s kontrolou polarizace pro strukturní informaci"
"20-17984S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav experimentální botaniky AV ČR, v.v.i.",,"abiotický stress;fytohormony; molekulární mechanizmy; signalizace; světlo",3,"Molekulární mechanismy hormonální a světelné signalizace u výhonů a kořenů v reakci na abiotický stres"
"20-17997S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Fakulta sociálních věd","sociální odpovědnost firem;(CSR);udržitelnost;odpovědnost;vnímání CSR;komunikace CSR;strategie;",3,"Role a specifika společenské odpovědnosti firem v české společnosti"
"20-18014S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Pardubice","Fakulta chemicko-technologická","ligand; p-prvek; anorganický cyklus;řetězec",3,"Systémy SNOOP-(ne)kov pro přípravu nových anorganických řetězců nebo kruhů"
"20-18022S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Západočeská univerzita v Plzni","Fakulta filozofická","civilizacionismus;křesťanství;banální nacionalismus;národní identita;islamofobie;Střední Evropa;Česká republika;2001-2021.",3,"Civilizacionismus a křesťanství & banální nacionalismus během zrodu a rozmachu islamofobie ve Střední Evropě: Česká republika jako případová studie"
"20-18046S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"opylování; herbivorie; ontogeneze; interakční sítě; evoluce; adaptace; klimatická změna; konzervační biologie; populační dynamika; matematické modely;",3,"Důsledky antagonistických a mutualistických efektů ve společenstvech typu rostlina-živočich"
"20-18051S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Botanický ústav AV ČR, v. v. i.",,"polyploidie; Asteraceae; apomixe; taxonomie; Hieracium; alpínská květena; RAD-seq; fylogeografie; Evropa",3,"Mladí potomci nebo dávní migranti? Kolonizace versus in situ speciace alopolyploidních apomiktů v evropských vysokohorských ostrovech"
"20-18067S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"Chromera velia;Vitrella brassicaformis;alelopatie;polyketidy;krátké aldehydy",3,"Alelopatické interakce chromeridních řas"
"20-18079S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta strojního inženýrství","Zpracování obrazu;segmentace;deep learning",3,"Deep learning pro sémantickou segmentaci založený na Cliffordových algebrách"
"20-18080J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Přírodovědecká fakulta","Parciální diferenciální rovnice;systémy s distribuovanými parametry;optimální řízení;filtrování;termodynamika;fázové přechody;ovladatelnost;zákony zachování;kontaktní geometrie;integrovatelnost",3,"Geometrická analýza v teorii řízení procesů popsaných parciálními diferenciálními rovnicemi"
"20-18098J","Mezinárodní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Karlova","Přírodovědecká fakulta","zimolez; drobné ovoce; zdravá výživa; taxonomie; fylogeografie; fylogenomika; transkriptomika; metabolomika; asemblování genomu",3,"Zimolez modrý (Lonicera caerulea L.) jako zdroj zdravé lidské výživy: kombinace genomického, fylogeografického a metabolomického výzkumu"
"20-18108S","Standardní projekty – 2020","Oborová komise technických věd","Ústav teorie informace a automatizace AV ČR, v.v.i.",,"hluboké neuronové sítě;konvolutorní neuronové_sítě;kanonický rozklad;maticové násobení;",3,"Tenzorové rozklady pro neuronové sítě a pro teorii složitosti"
"20-18112S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav analytické chemie AV ČR, v.v.i.",,"BVOCs;terpeny;isopren;přenosný vzorkovač;les",3,"Miniaturizovaný a přenosný vzorkovač pro stanovení biogenních těkavých organických sloučenin v ovzduší s off-line analýzou plynovou chromatografií"
"20-18131S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta agrobiologie, potravinových a přírodních zdrojů","Adheze; agregace; bifidobakterie; buněčné linie; patogeny; probiotika; virulence",3,"Bifidobakteriální adheziny a potenciální invaziny; jejich vliv na buněčnou adhezi a interakci s patogeny"
"20-18149S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav biologie obratlovců AV ČR, v.v.i.",,"ještěrka obecná;změna barevného vzoru;sezónní aridifikace;klimatická změna;výběr kořisti;molekulární genotypování;počítačové vidění;vícepásmové zpracování obrazu",3,"Polymorfismus zbarvení jako antipredační strategie v promněnlivém prostředí"
"20-18154S","Standardní projekty – 2020","Oborová komise technických věd","Biofyzikální ústav AV ČR, v.v.i.",,"organický polovodič;porvrchové modifikace;živočišná buňka; kmenová buňka;bioelektronické zařízení;",3,"Modifikované povrchy organických polovodičů: cesta k budoucím bioelektronickým zařízením pro regenerativní medicínu"
"20-18165S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Geofyzikální ústav AV ČR, v.v.i.",,"Moho; rozhraní litosféra-astenosféra; seismologie;kůra; plášť; AlpArray; střední Evropa",3,"Modelování Moho diskontinuity a rozhraní litosféra-asthenosféra ve střední Evropě"
"20-18177J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Filozofická fakulta","vědecká komunikace; transfer idejí; sociální praktiky; historici; ekonomové; Československo; Sovětský svaz; 1948-1991;",3,"Sovětsko-československá vědecká komunikace v letech 1948-1991: transfer idejí a sociálních praktik"
"20-18183X","EXPRO - 2020","EXPRO","Masarykova univerzita","Středoevropský technologický institut","RNA polymerasa II;fázová separace;CTD; strukturní biologie;NMR",5,"Molekulární mechanismus fázové separace RNA polymerasy II"
"20-18196S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"metalokarbenové komplexy;hemoprotein;elektronová struktura;katalýza;selektivita;teoretická bioanorganická chemie;výpočty DFT;multireferenční ab initio metody;QM/MM",3,"Karbenová chemie katalyzovaná de novo metaloenzymovými a biomimetickými komplexy"
"20-18203S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta mezinárodních vztahů","suboptimální potraviny;plýtvání potravinami;vnímání kvality;volba spotřebitele;hodnota;cena",3,"Chování spotřebitele na trhu suboptimálních potravin"
"20-18235S","Standardní projekty – 2020","Oborová komise technických věd","COMTES FHT a.s.",,"tvarová paměť;obloukové tavení;prášková metalurgie;mechanické vlastnosti",3,"Nové Ni-Ti slitiny s tvarovou pamětí při zvýšených teplotách"
"20-18242S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Fakulta sociálních věd","Hospodářství; malé národní státy; industrialismus;volný obchod; národní kapitál; dělnictvo; koncepční historie; Albánie; Československo; Gruzie;",3,"„BUDOVÁNÍ NÁRODNÍHO HOSPODÁŘSTVÍ“ V ALBÁNII, ČESKOSLOVENSKU A GRUZII VE 20. LETECH 20. STOLETÍ"
"20-18257Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav biologie obratlovců AV ČR, v.v.i.",,"životní strategie;ptáci;pěvci;fyziologie;biochemie;metabolizmus;metabolomika;metabolické dráhy;stres;tropy;temperát;sezonalita;sezónní;latituda;altituda;nadmořská výška; zemská délka; pohlavní dimorfizmus;věk;stáří;stárnutí;vývoj;ontogeneze;plasticita",3,"Flexibilita a evoluce metabolických drah u pěvců: od individuálních procesů po trendy na velkých prostorových škálách"
"20-18274S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Pardubice","Fakulta chemicko-technologická","time-lapse; embryo; metabolomika; těhotenství; metabolismus embrya",3,"Sledování morfokinetických znaků a vybraných metabolitů u vyvíjejících se lidských embryí jako prediktoru jejich dalšího úspěšného vývoje"
"20-18288S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","České vysoké učení technické v Praze","Fakulta informačních technologií","algoritmická teorie her;parametrizovaná složitost;návrh mechanismů;sociální výběr;",3,"Složitost distribuovaných a online mechanismů: Parametrizace a celočíselné programování"
"20-18290S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ústav archeologické památkové péče Brno, v.v.i.",,"starší doba bronzová;antropologie;bioarcheologie;společnost;ekonomika;sídelní struktury;absolutní chronologie",3,"Život - násilí - smrt ve starší době bronzové na Moravě"
"20-18328S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav organické chemie a biochemie AV ČR, v.v.i.",,"proteomika; lipidomika; vernix caseosa; třífázová kapalinová extrakce;",3,"Integrovaná strategie pro lipidomiku a proteomiku komplexních směsí lipidů a proteinů"
"20-18337S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Středoevropský technologický institut","DNA;mismatch repair;MMR;base excision repair;BER;rakovina;interkalace;ohýbání;elasticita;flexibilita;molekulová dynamika;výpočty volných energií;kolektivní proměnné;ABF;DFT;QM/MM;X-ray;ITC;",3,"Molekulární mechanismy rozpoznávání nesprávně spárované DNA"
"20-18344J","Mezinárodní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Karlova","Matematicko-fyzikální fakulta","jednobuněčné řasy;dusík;úložiště živin;mikrokrystalické inkluze;guanin;puriny;konfokální Ramanova mikroskopie;analytická elektronová mikroskopie",3,"Nová biologická role purinových mikrokrystalů: úložiště pro dlouhodobé uchovávání dusíku v jednobuněčných řasách"
"20-18359S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"Mikrobiální ekologie;mikrobiální interakce;mikrobiální eukaryota;genomika;differenciální exprese;",3,"In-vitro model pro studium ekologie a interakcí mikrobiálních eukaryot a prokaryot"
"20-18363S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Přírodovědecká fakulta","statistická inference;analýza funkcionálních dat;stochastický proces;neparametrické metody;odhad;predikce;neúplné pozorování;difuze;časová řada",3,"Statistická analýza nestandardních funkcionálních dat pro ekonometrické modelování"
"20-18371S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Husitská teologická fakulta","bezdomovectví;reintegrace;psychologické faktory;sociální prostředí;sociální politika",3,"Determinanty úspěšné sociální reintegrace bezdomovců: vliv psychologických, sociálních a environmentálních činitelů"
"20-18385S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Jihočeská univerzita v Českých Budějovicích","Ekonomická fakulta","Decentralizace;Evropská integrace;Globální obálkový test;Místní samospráva;Vládní sektor",3,"Funkcionální ukazatele decentralizace na národní, regionální a obecní vládní úrovni za evropské integrace"
"20-18411L","Lead Agency - 2020","kontrola","Masarykova univerzita","Ústav výpočetní techniky","vysoko-rozměrný entanglement;kvantové zdílení klíče;kvantové počítání;QKD",3,"VYsoko ROzměrné Kvantové zpracování informace"
"20-18424S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Mikrobiologický ústav AV ČR, v.v.i.",,"regulace genové exprese;stresové podmínky;buněčná fyziológie;reiniciace;uORF;GCN4",3,"Translační kontrola kvasinkového transkripčního faktoru GCN4 určuje globální buněčnou odpověď na různé typy stresů."
"20-18430S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Palackého v Olomouci","Filozofická fakulta","Chvála; pozdní Byzantium; rétorika; rétorická teorie; společnost; byzantský; dopisy; intelektuální dějiny; literatura; řecký;",3,"Ethos, Logos, Pathos: Praxe chvalořeči v pozdní Byzanci (c. 1350-1453)"
"20-18448Y","Juniorské projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Centrum nanotechnologií","Dezintegrace;lamelární nanomateriály;vodní tryskový mlýn;fotokatalýza;grafen;nitridu uhlíku;vrstevnaté podvojné hydroxidy",3,"Dezintegrace lamelárních materiálů pomocí vodního tryskového mlýnu a vliv této úpravy na výslednou fotokatalytickou aktivitu nanostruktur."
"20-18453S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Pedagogická fakulta","informatické myšlení;digitální kompetence;formální vzdělávání",3,"Rozvoj informatického myšlení a digitálních kompetencí dětí"
"20-18482S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Karlova","Přírodovědecká fakulta","PVDI;dědičnost Galton-Pearson model;punktuační evoluce;speciace;kulturní evoluce",3,"Modely nepartikulátní kulturní dědičnosti: mechanismy, mikroevoluce a makroevoluce"
"20-18495S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Středoevropský technologický institut","kognitivní rezerva;mírná kognitivní porucha;Parkinsonova nemoc;chromatická pupilografie;neuropsychologické testování",3,"Studium kognitivní rezervy a jejich korelátů u zdravých seniorů a seniorů s mírnou kognitivní poruchou a demencí"
"20-18509J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Fyzikální ústav AV ČR, v.v.i.",,"elipsometrie;dynamika;přechodové;pump-probe;femtosekunová;polovodiče;oxidy;mikrodutiny",3,"Časově rozlišená femto sekundová spetroskopická elipsometrie"
"20-18521S","Standardní projekty – 2020","Oborová komise technických věd","Ústav fyziky plazmatu AV ČR, v. v. i.",,"koncentrované slitiny;multi-fázové slitiny;vysoká entropie; oxidace;interakce s vodíkem;wolframové slitiny;niklové slitiny",3,"Termodynamická stabilita lehkých žáruvzdorných koncentrovaných slitin v prostředích obsahujících kyslík a vodík"
