"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-00043S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Mikrobiologický ústav AV ČR, v.v.i.",,"polyketid syntáza typu I;polynenasycené mastné kyseliny;bakterie;obrněnky;",3,"Alternativní zdroje omega-3 polynenasycených mastných kyselin"
"20-00062S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Pardubice","Fakulta ekonomicko-správní","autentifikace osob;kontura ruky;evoluční algoritmy,kalibrace obrazu kamery;biometrický scanner;",3,"Nástroje a metody pro identifikaci osob s využitím kontury ruky"
"20-00109X","EXPRO - 2020","EXPRO","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","mikrobiom; symbióza; hmyz; bakterie; horizontalní přenos genů; genomika; pangenom; metagenomika;",5,"Mikrobiomy parazitického hmyzu: “melting pots” v přechodu bakterií k symbióze"
"20-00132S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"mravenci; formování společenstev; chování; koruny; kompetice; kolonie; disturbance; elevace; Formicidae; mozaika; mezidruhové interakce; prostorová manipulace; vlastnosti druhů; fylogenetická diverzita; teplotní tolerance; teritorialita; tropické lesy;",3,"Objasnění faktorů formujících společenstva mravenců v korunách tropických lesů s pomocí experimentálních manipulací"
"20-00197S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Fakulta informatiky a managementu","Business proces model;optimalizace;poskytování služby;systém sdílené mobility;rozvozní problém;orientační problém;agentové modelování;heuristické metody;integrovaný systém mobility;synchronizace;rozvozní úloha se ziskem",3,"Optimalizace business procesů a produktů subjektů v sektoru služeb"
"20-00204S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Hradec Králové","Přírodovědecká fakulta","sekvenční data;detekce anomálií;částečně-řízené učení;strojové učení",3,"Detekce anomálií v sekvenčních datech pomocí částečně řízeného strojového učení"
"20-00236S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav makromolekulární chemie AV ČR, v.v.i.",,"galektin-3;glykomimetikum;glykopolymer;HPMA kopolymery;inhibitor;nádor;cílená léčba nádorů.",3,"Glykopolymery pro inhibici galektin-dependentního nádorového bujení"
"20-00243X","EXPRO - 2020","EXPRO","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Časově kontinuální DSP;integrované obvody;energy harvesting;",5,"Časově kontinuální zpracování diskrétních signálů: nový přístup ke zpracování signálů"
"20-00270X","EXPRO - 2020","EXPRO","Vysoká škola chemicko-technologická v Praze","Fakulta potravinářské a biochemické technologie","půdní mikrobiální komunity;vztahy rostlina-mikroorganismus;rhizosféra;rhizodepozity;sekundární metabolity rostlin;biodegradace",5,"Život na rozhraní – ekologie mikroorganismů asociovaných s rostlinami"
"20-00289S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Vysoká škola chemicko-technologická v Praze","Fakulta potravinářské a biochemické technologie","rhizosféra;rhizodepozity;struktura půdních mikrobiálních komunit;mikrobiální aktivita",3,"Co dělá rhizosféru rhizosférou? Rhizodepozity jako determinanty struktury půdních mikrobiálních komunit"
"20-00301S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Technická univerzita v Liberci","Ústav pro nanomateriály, pokročilé technologie a inovace","Mikrobiální_společenstva;fylogenetické_a_funkční_vztahy;biodegradace;chlorované_organické látky;epicPCR;extrachromozomální_DNA;modelování_metabolických_drah",3,"Propojení fylogenetické a funkční informace u jednotlivých bakteriálních taxonů v lokalitách kontaminovaných organochloridy"
"20-00338S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Analogové obvody;aproximace;optimalizace;teorie obvodů;systém na čipu;SoC;mikroelektronika;MOS-only;MOS-C;dvojbran;diferenční;vzájemně propojené;filtr;oscilátor;imitanční konvertor;FDNR;bilineár;obvody fraktálního řádu;FOC;FOI;PID regulátor",3,"Syntéza, analýza a optimalizace analogových integrovaných obvodů na čipu s charakterem celočíselného a fraktálního řádu"
"20-00340S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Filosofický ústav AV ČR, v.v.i.",,"božstvo; mýtus; rituál; tabu; nahota; ženskost; Afrodita; Venuše; umění; antika; středověk; novověk; recepce antiky",3,"Božská nahota"
"20-00364S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Filozofická fakulta","hrad; příkop; původ panství; středověk; Rokštejn",3,"Hradní příkop jako svědek vzniku a zániku hradu Rokštejn"
"20-00386J","Mezinárodní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Technická univerzita v Liberci","Ústav pro nanomateriály, pokročilé technologie a inovace","Sušení rozprašováním;Rostlinné_gumy;Anhydrid kyseliny dodecenylsukcinové;Polymerní deriváty;Nanočástice elementárního železa;Grafen-oxid;Čištění životního prostředí",3,"Mikročástice a kapsle na bázi nanočástic elementárního železa a přírodních gum pro environmentální aplikace"
"20-00412S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Analogově-digitální převodníky;integrované obvody;energy harvesting",3,"Nové obvodové principy pro extrémně nízkonapěťové asynchronní analogově-digitální převodníky"
"20-00431S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Palackého v Olomouci","Lékařská fakulta","cytidinová deamináza;dCMP deamináza;analogy 2´-deoxycytidinu;polymorfismus deamináz;
cytarabin;5-(trifluorometyl)-2'-deoxycytidin;5-etynyl-2'-deoxycytidin;5–fluoro-2'-deoxycytidin;5-
bromo-2'-deoxycytidin",3,"Souhra mezi cytidin a deoxycytidin monofosfát deaminázami: jejich úloha při deaminaci biologicky významných analogů nukleosidů"
"20-00454S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Palackého v Olomouci","Lékařská fakulta","nukleosidové analogy;replikon;replikace DNA;opravy DNA;DNA glykozylázy;organizace chromatinu;bázová excizní oprava",3,"Lidské replikony: Strukturně funkční aspekty bázové excisní opravy"
"20-00533J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Mikrobiologický ústav AV ČR, v.v.i.",,"Glykobiotechnologie;biokatalýza;chemo-enzymatická syntéza;glykosyltransferasy;glykosidasy;neo-glykokonjugáty;multivalence;lektiny;rakovina;",3,"Chemoenzymová syntéza komplexních multivalentních neoglykoproteinů pro inhibici galektinů"
"20-00551S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Geofyzikální ústav AV ČR, v.v.i.",,"hydromagnetická dynama;termochemická konvekce;vnitřní jádro Země;změny polarity;geomagnetické pole;",3,"Vliv růstu vnitřního jádra Země na geomagnetické pole: minulost, přítomnost a budoucnost"
"20-00567J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta financí a účetnictví","demografie;úmrtnost;přírodní katastrofy;modelování;simulace;rozhodovací proces;transfer katastrofických rizik;insurance linked produkty",3,"Měření a řízení nových rizik v pojišťovnictví v rámci globálních transformací"
"20-00580Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Mendelova univerzita v Brně","Agronomická fakulta","multi CLEA;imobilizace enzymů;NSAID;houby bílé hniloby;houby hnědé hniloby",3,"Efekt kokultivace hub na růst mycelia, produkci enzymů, imobilizaci zesítěných enzymů a degradaci léčiv"
"20-00598J","Mezinárodní projekty – 2020","Oborová komise technických věd","Ústav geoniky AV ČR, v.v.i.",,"abrazivní suspezní vodní paprsek;otryskávání; modelování;proudění;řezný materiál;tvarování",3,"Analýza a modelování erozního mechanismu úběru materiálu při vysokotlakém suspenzním otryskávání povrchů vysokopevnostních řezných materiálů"
"20-00607J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Přírodovědecká fakulta","hvězdy;chemicky pekuliární hvězdy;světelné křivky;spektra;magnetické pole;spektropolarimetrie;",3,"Zkoumání role magnetických polí ve fyzice chemicky pekuliárních hvězd užitím spektropolarimetrie vedené na BTA-6"
"20-00611S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Filozofická fakulta","nižší šlechta;lenní institut;královská doména;komorní doména;feudalismus;Lucemburkové; Václav IV. Lucemburský;desky dvorské;husitská revoluce;Vyšehrad;vyšehradští purkrabí; královský okrsek na Vyšehradě",3,"Vyšehradská lenní soustava a úloha nižší šlechty v domácí politice Václava IV. Lucemburského"
"20-00669S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav biologie obratlovců AV ČR, v.v.i.",,"koevoluce;kukačka obecná;hnízdní parasitismus;virulence;náklady a zisky",3,"Náklady a zisky v koevolučních interakcích mezi vysoce virulentním hnízdním parazitem a jeho hostiteli"
"20-00695S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","České vysoké učení technické v Praze","Fakulta jaderná a fyzikálně inženýrská","kvantová gravitace;kvantová teorie pole;renormalizační grupa;modifikovaná gravitace;gravitace s vyššími derivacemi;konformní gravitace;kosmologie",3,"Kvantové aspekty gravitačních teorií s vyšším řádem derivací: možnost pro kvantovou konformní gravitace"
"20-00703Y","Juniorské projekty – 2020","Oborová komise technických věd","Vysoká škola chemicko-technologická v Praze","Fakulta chemicko-inženýrská","biodegradovatelné polymery;fázová inverze;spinodální dekompozice;Cahn-Hilliard model;termodynamika;mezifázové rozhraní;transport;morfologie;morfogeneze",3,"Morfogeneze a vztah mezi strukturou a vlastnostmi biodegradovatelných polymerů"
"20-00719S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Historický ústav AV ČR, v.v.i.",,"Dějiny; Historiografie; Dějiny slavistiky; Josef Macůrek; Masarykova univerzita; Slovanský ústav;",3,"Josef Macůrek, tvůrce brněnské školy dějin východní a jihovýchodní Evropy"
"20-00774J","Mezinárodní projekty – 2020","Oborová komise technických věd","Ústav makromolekulární chemie AV ČR, v.v.i.",,"nanočástice síry;hybridní vodivé částice;elektrochemícká impedance;potentiometrické sensory;spektroskopie;vázání iontů mědi(II);",3,"Vývoj elektroaktivních polymerních částic s core/shell strukturou slibnou pro senzorové systémy: nové možnosti zvýšení selektivity"
"20-00800S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta stavební","recyklace; písek; filer; kamenné odprašky; cementový kompozit; mikromletí; plasmatická úprava;",3,"Nahrazení písku odpadními odprašky z těžby hornin za účelem snížení ekologického dopadu a zlepšení vlastností cementového kompozitu"
"20-00816S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Anglo-americká vysoká škola, z.ú.",,"Sociální odpovědnost podniků (CSR);udržitelnost;právní rámec;etika;komparace;povědomí;dodržování;závazek;soutěž;konkurenceschopnost;duševní vlastnictví;právo veřejné;právo soukromé;soft-law;EU;Evropa 2020;unifikace;harmonizace;strategie.",3,"Komparatistické vyhodnocení právního rámce pro sociální odpovědnosti podniků (CSR) a jeho efektivity a účinnosti v EU, zejména v České republice"
"20-00844Y","Juniorské projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta mezinárodních vztahů","EU;Česká republika;solidarita;migrace;migrační politika;uprchlická krize;analýza diskurzu",3,"Nejednoznačný koncept solidarity: evropský versus český přístup k migrační politice"
"20-00863S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ostravská univerzita","Filozofická fakulta","česká poezie;20. století;Moravskoslezské Beskydy;literární zobrazení;žánrové mody",3,"Obraz Beskyd v české poezii dvacátého století"
"20-00902S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Mendelova univerzita v Brně","Provozně ekonomická fakulta","Biologická aktiva;lesní porost;dřevní hmota;oceňování;reálná hodnota;finanční situace;výkonnost;česká účetní legislativa;IFRS.",3,"Návrh harmonizovaných metodických postupů pro vykazování hospodářských lesů zohledňující změny v množství a kvalitě dřevní hmoty"
"20-00941S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Fyzikální ústav AV ČR, v.v.i.",,"protein; Rentgen; sériová krystalografie; femtosekundová difrakce; LCP",3,"Růst proteinových krystalů v lipidických a polymerních kubických fázích pro sériovou krystalografii na femtosekundových rentgenových zdrojích"
"20-00956S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Internet; prostor; poloha; geografie",3,"Výzkum prostorových vlastností Internetu"
"20-00960S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ostravská univerzita","Filozofická fakulta","osobní jména; antroponymie; identifikace; identita; socioonomastika; onomastika",3,"Antroponymie jako (sebe-)identifikační prvek"
"20-00973S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Výzkumný ústav veterinárního lékařství, v.v.i.",,"neurotoxicita;diferenciace nervových kmenových buněk;metabolismus sfingolipidů;genová exprese;TCDD;PCBs;markery neurotoxicity;REPs",3,"Hledání nových molekulárních markerů neurotoxicity indukované látkami znečisťující životní prostředí"
"20-01003S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola chemicko-technologická v Praze","Fakulta chemické technologie","polyethylenglykol; nanočástice; ušlechtilé kovy; struktura; stabilita; cytotoxicita; antibakteriální aktivita",3,"Funkcionalizované nanočástice ušlechtilých kovů: od přípravy ke studiu biologických interakcí"
"20-01019X","EXPRO - 2020","EXPRO","Univerzita Karlova","Matematicko-fyzikální fakulta","ultrachladné;plazma;kvantová;mechanika;senzor;experimentální;astrofyzika;pseudo-kondenzovaný;stav;exotické;skupenství",5,"Tvorba exotického skupenství na pomezí plazmatu a kovu"
"20-01026S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Fakulta informatiky a managementu","Mobilní aplikace; angličtina; učení; výuka;efektivita",3,"Potenciál mobilních aplikací při výuce anglického jazyka"
"20-01035J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Astronomický ústav AV ČR, v.v.i.",,"exoplanety; spektroskopie; radiální rychlosti; exo-atmosféry, vesmírné mise;TESS",3,"Ondřejov-Tautenburg, úspěšný projekt pro pozorování planetárních kandidátů mise TESS - Charakterizace horkých Jupiterů a hnědých trpaslíků"
"20-01061S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Pedagogická fakulta","Delphi studie;trendy ve výzkumu;výuka;přírodovědné obory",3,"Současné a žádoucí trendy výzkumu v didaktikách přírodovědných oborů v Česku: Delphi studie v komunitě expertů"
"20-01116S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Vysoká škola chemicko-technologická v Praze","Fakulta potravinářské a biochemické technologie","diversita; virulence; Cronobacter; MLST; PCR; rezistence",3,"Diversita a virulence Cronobacter spp. pocházejících z potravin a životního prostředí"
"20-01128S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta stavební","interakce; konstrukce-podloží; trhliny; experimentální zkoušky; numerické analýzy; MKP; HPC",3,"Numerické modelování stavebních konstrukcí v interakci s prostředím pomocí superpočítače"
"20-01144S","Standardní projekty – 2020","Oborová komise technických věd","Univerzita Karlova","Přírodovědecká fakulta","fluorescence; chemosenzory; polymerní syntéza; interakce; zhášení fluorescence",3,"Polymerní luminiscenční chemosenzory"
"20-01163S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","1. lékařská fakulta","kardiomyocyt; proliferace; plazi; ptáci; zárodek; vývoj srdce; elektrofyziologie",3,"Regenerace srdce napříč fylogenezí a ontogenezí"
"20-01185S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Fakulta informatiky a managementu","dynamické vzory;organizace;stereotypy chování;systémové archetypy",3,"Archetypální a stereotypní vzory struktur a chování v organizacích"
"20-01192S","Standardní projekty – 2020","Oborová komise technických věd","Univerzita Tomáše Bati ve Zlíně","Univerzitní institut","nanofluidika;uhlíkové nanostěny;nanotrubice;tranzistor řízený polem;biosenzory;",3,"Biologicky aktivované polymerní nanofluidika s uhlíkovými nanostěnami pro identifikaci proteinů a buněk"
"20-01205S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta strojního inženýrství","vortex-induced vibrations;tlakové ztráty;tepelný výměník;mikrokanály;polymerní vlákna;svazek trubek;rezonance;lock-in;součinitel odporu;",3,"Vibrace vyvolané příčným obtékáním svazku trubek"
"20-01246S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Západočeská univerzita v Plzni","Fakulta filozofická","hegemonie; historicita; etnicita; politika; Etiopie",3,"Hegemonie a historicita: externí a interní faktory a jejich vliv na politiku Etiopie"
"20-01267Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","Culex;bakterie;diverzita;genomika;mikrobiom;komár;vektor;",3,"Komplexní mikrobiomy komarů: Pochopení bakteriální diverzity z taxonomického a genomického hlediska."
"20-01279S","Standardní projekty – 2020","Oborová komise technických věd","Ústav teoretické a aplikované mechaniky AV ČR, v.v.i.",,"CaCO3;kalcit;vaterit;aragonit;morfologie;syntéza.",3,"Syntéza částic polymorfů uhličitanu vápenatého o specifické morfologii a velikosti zrn"
"20-01298S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta mezinárodních vztahů","inovace; imitace; instituce; správa; vývoj ekonomiky",3,"Inovace, technologie a kvalita institucí: nový přístup k přibližným a fundamentálním příčinám hospodářského růstu"
"20-01308S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola chemicko-technologická v Praze","Fakulta chemické technologie","plazmonika;nanotechnologie;optické vlastnosti;kovové nanostruktury;plynový senzor;biosenzor",3,"Plasmonová rezonance v kovových nanostrukturách - chemická detekce na základě optické citlivosti"
"20-01312S","Standardní projekty – 2020","Oborová komise technických věd","Univerzita Karlova","Přírodovědecká fakulta","bentonit; hydro-mechanické chování; mikrostruktura; teplota",3,"Vývoj změn hydro-mechanických vlastností a mikrostruktury bentonitu vlivem tepelného namáhání"
"20-01349S","Standardní projekty – 2020","Oborová komise technických věd","Technická univerzita v Liberci","Ústav pro nanomateriály, pokročilé technologie a inovace","přemostěné organosilany;sol-gel;elektrostatické zvlákňování;hybridní nanovlákna;nanomateriály;tkáňové inženýrství",3,"Hybridní organokřemičitanové nanovlákenné tkáňové nosiče pro biomedicínské aplikace"
"20-01354S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mikrobiologický ústav AV ČR, v.v.i.",,"strukturovaná data;SQL;vytěžování dat;algoritmy;interpretované jazyky;transkripční faktory;transkriptom;proteom;interaktom;sítě;modely;TEAD1;leukemie; zebřička",3,"Počítačový a funkční model regulační sítě TEAD1"
"20-01365X","EXPRO - 2020","EXPRO","Vysoká škola chemicko-technologická v Praze","Fakulta chemické technologie","Materiálové inženýrství;příprava;charakterizace;speciální struktury;funkcionalizované povrchy;plazmonově aktivní povrchy;povrchová plazmonová rezonance;biomateriály;biosenzory;detekce proteinů zprostředkujících adhezi buněk",5,"Nové senzory založené na plazmonech jako nástroje pro mikrobiologii, medicínu a pokročilé tkáňové inženýrství"
"20-01377S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Slezská univerzita v Opavě","Fakulta veřejných politik v Opavě","Stáří;stárnutí;filosofická antropologie;filosofie stáří;narativní koncepce osoby;identita;význam stáří",3,"Stáří jakožto život v čase - filosofická antropologie narativní koncepce osoby a její místo ve filosofii stáří"
"20-01383S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Slezská univerzita v Opavě","Obchodně podnikatelská fakulta v Karviné","podnikové procesy;formálni model;správnost procesu;formální ověření;podniky;metodologie",3,"Interdisciplinární přístup k ověřování podnikových procesů: formální metody a process mining"
"20-01396S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Slezská univerzita v Opavě","Obchodně podnikatelská fakulta v Karviné","odvětví veřejného sektoru; municipality; brownfieldy; rozvoj; regenerace",3,"Brownfieldy a jejich skrytý potenciál pro rozvoj odvětví veřejného sektoru"
"20-01417J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Přírodovědecká fakulta","voltametrie; elektrody; pasivace; organické polutanty; charakterizace povrchu elektrod;",3,"Nové přístupy zabraňující pasivaci elektrod při monitorování environmentálních organických polutantů"
"20-01429X","EXPRO - 2020","EXPRO","Univerzita Karlova","Matematicko-fyzikální fakulta","modulární molekulární nástrojová sada;inteligentní návrh matrice;nanomateriály;biofotonika;samo-organizace;separace fází;plazmonika",5,"Biomimetické hybridní systémy pro světlem poháněnou konverzi energie"
"20-01486S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Fakulta humanitních studií","Heidegger; dějiny bytí; anti-semitismus; metafysika; začátek; Marx; technika; černé sešity",3,"Kritická diskuse Heideggerovy koncepce ""dějin bytí"" ve světle jeho obvinění z ""antisemitismu"""
"20-01493X","EXPRO - 2020","EXPRO","České vysoké učení technické v Praze","Fakulta stavební","kompozity; stavby; technologie;strategie návrhu;funkční vlastnosti;ekologické parametry; ekonomické faktory;optimalizační metody",5,"Pokročilé strategie pro návrh a hodnocení kompozitních stavebních materiálů"
"20-01562S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Filozofická fakulta","neolit;historické pojetí;trendy;eurasijský kontinent",3,"Neolitické  změny v kontextu eurasijského kontinentu"
"20-01591S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Technická univerzita v Liberci","Fakulta přírodovědně-humanitní a pedagogická","Komunistická strana Československa;Československo;1969-1989;členové strany;disciplinace;",3,"Mezi představami a realitou – členská základna Komunistické strany Československa v období tzv. normalizace"
"20-01618S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Západočeská univerzita v Plzni","Fakulta filozofická","esoterika; konspiracismus; antisemitismus; konspirační mýty; zakotvená teorie",3,"Esoterika, konspiracismus... antisemitismus? Úloha antisemitských konspiračních mýtů v soudobé západní esoterice"
"20-01625S","Standardní projekty – 2020","Oborová komise technických věd","Fyzikální ústav AV ČR, v.v.i.",,"Nelineární mechanika;Nanomechanika;Kmitání;Matematické modelování;Tenké filmy;Vrstevnaté rezonátory;Víceúrovňové modelování;Materiály s tvarovou pamětí",3,"Výpočtové modelování a experimentální analýza funkčních mikro/nano-mechanických rezonátorů s lokálními a globálními nelinearitami"
"20-01687S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Pedagogická fakulta","ukrajinští studenti;metodologický nacionalismus;transnacionalismus;sociální remitance;Ukrajina",3,"Progresivní začlenění ukrajinských studentů v České republice a jejich vliv na proměnu ukrajinské společnosti"
"20-01694S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Matematicko-fyzikální fakulta","koherence textu;prostředky koheze;jazykové zdroje;čeština;němčina;osvojování cizího jazyka;tvorba korpusu",3,"Čeština jako cizí jazyk: prostředky koheze a koherence textu"
"20-01706S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Institut klinické a experimentální medicíny",,"játra;streptozotocin;cystické změny;diabetes mellitus;alkylační cytostatika;transplantace;panreatické ostrůvky;mTORi",3,"Identifikace mechanismu poškození cholangiocytů diabetického potkana po transplantaci pankreatických ostrůvků"
"20-01723S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Filozofická fakulta","Průmyslová špionáž;Transfer technologií;Technologické režimy;Státní intervencionismus;Průmyslové podniky;Meziválečné Československo",3,"Průmyslová špionáž v meziválečném Československu: Aktéři, kanály a strategie nelegitimního transferu technologií"
"20-01747S","Standardní projekty – 2020","Oborová komise technických věd","Univerzita Karlova","Přírodovědecká fakulta","Chirální polymery;helikální chiralita;řetězová polymerizace;mikroporézní polymery;hypersesíťované polymery;polyacetyleny;textura;enantioselektivita;fyzisorpce;chemisorpce;heterogenní katalýza;cirkulární dichroismus",3,"Chirální mikroporézní polymery typu hypersesíťovaných polyacetylenů pro enantioselektivní sorpci a katalýzu"
"20-01775S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","1. lékařská fakulta","elektrická remodelace;srdeční hypertofie;arytmie;neonatální období;hyperplazie",3,"Elektrická remodelace srdce a arytmogeneze během progrese neonatálně indukovaného tlakového přetížení u potkana"
"20-01799S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Hradec Králové","Fakulta informatiky a managementu","fingerprint;indoor lokalizace;BLE;WiFi;radio map;RSSI;TOA",3,"Analýza klíčových faktorů vedoucích k nepřesnosti indoor lokalizačních systémů založených na fingerprintových metodách a metody jejich eliminace"
"20-01821S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Filozofická fakulta","Válka; tragédie; Aischylos; Sofoklés; Eurípidés",3,"Starověká řecká tragédie a válka"
"20-01832J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav geoniky AV ČR, v.v.i.",,"indukovaná seismicita;napěťově-přetvárný model;černouhelná pánev;strukturní stavba",3,"Napěťově přetvárný model horninového masivu vytvořený na základě indukované a přirozené seismicity černouhelných revírů Česka a Sibiře"
"20-01845Y","Juniorské projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Filozofická fakulta","logika;psychologismus;anti-psychologismus;historie logiky;filozofie logiky;Bernard Bolzano;Edmund Husserl;Gottlob Frege;Lvovsko-varšavská škola;naturalismus v logice;logický pluralismus;zákony logiky;",3,"Minulost, přítomnost a budoucnost psychologismu v logice"
"20-01850S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","1. lékařská fakulta","kmenová buňka; progenitorová buňka; krvetvorba; diferenciace; regenerace; mikroprostředí; myš",3,"Časná reakce kostní dřeně na poškození."
"20-01878S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Karlova","Přírodovědecká fakulta","sněžné řasy; cysty; bičíkovci; Chloromonas; Chlamydomonas; amplikonové sekvenování; transkriptomika; vitalita",3,"Skrytý život sněžných řas: nové pohledy na složení společenstev a strategie životního cyklu vysoce specializovaných psychrofilních mikroorganismů"
"20-01884S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Vysoká škola chemicko-technologická v Praze","Fakulta potravinářské a biochemické technologie","Sporulace;Clostridium beijerinckii;RNA-Seq;ChIP-Seq;spo0A",3,"Prohloubením znalostí k lepší kontrole sporulace u klostridií"
"20-01930Y","Juniorské projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Palackého v Olomouci","Cyrilometodějská teologická fakulta","terapie zaměřená na emoce;skupinová psychoterapie;transdiagnostický přístup;randomizovaná kontrolovaná studie;experiment;účinnnost",3,"Účinnost skupinové formy terapie zaměřené na emoce jako transdiagnostické léčby deprese, úzkosti a příbuzných duševních nemocí: experimentální studie"
"20-01953S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Matematicko-fyzikální fakulta","Multiferoika;Magnetické vlastnosti;Magnetoelektrická vazba;Směsné oxidy železa;Hyperjemné interakce;Mössbauerova spektroskopie;JMR;Synchrotronové záření",3,"Úprava magnetických vlastností a magneto-elektrické vazby jednofázových multiferoických směsných oxidů železa pomocí substitucí"
"20-01976Y","Juniorské projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta elektrotechnická","vývoj metody měření;objektivní a subjektivní hodnocení;nízkofrekvenční hluk;vibrometrie;poslechové testy;",3,"Vývoj metody na hodnocení kročejového hluku v budovách od 20 Hz"
